frame,hand_index,angle_thumb_pip,angle_thumb_dip,angle_index_pip,angle_index_dip,angle_middle_pip,angle_middle_dip,angle_ring_pip,angle_ring_dip,angle_pinky_pip,angle_pinky_dip,dist_thumb_index,dist_thumb_middle,dist_thumb_ring,dist_thumb_pinky,dist_index_middle,dist_index_ring,dist_index_pinky,dist_middle_ring,dist_middle_pinky,dist_ring_pinky,thumb_y_rel_wrist,thumb_y_rel_index_mcp,thumb_dist_to_index_mcp,thumb_palm_dist,thumb_adduction_angle,index_fret_idx,index_string_idx,index_fret_dist_px,middle_fret_idx,middle_string_idx,middle_fret_dist_px,ring_fret_idx,ring_string_idx,ring_fret_dist_px,pinky_fret_idx,pinky_string_idx,pinky_fret_dist_px
9,1,158.62923972330643,169.80156217808252,151.124838229242,167.17297255372472,171.53007859395012,176.86923228717916,164.15172993062507,173.8358161617249,159.35843056687736,170.3275879652848,0.02621991651249595,0.08591737832871148,0.08952739946749376,0.08970675691337242,0.07899549318439417,0.08443868224609834,0.08478018506385505,0.04278163577245455,0.05514835630578948,0.013402458276855607,-0.07914531230926514,0.020164191722869873,0.05686566526642492,0.05371574219670614,23.837551182372756,,,,,,,,,,,,
10,0,168.6746069498335,166.22740047797654,143.3054308420033,154.50411259631932,171.34629576313614,175.02143329920946,152.5884101997455,167.68255160945932,157.02141983709464,169.42737140652252,0.024720474564408096,0.08254716754519968,0.0817010239823467,0.08546949712147194,0.07776197687098775,0.07581087928536266,0.07986390561545953,0.048174864703439735,0.05130055269546328,0.004509942210609115,-0.07514524459838867,0.02456951141357422,0.05642256154990946,0.04739744327638337,24.58835299060477,,,,,,,,,,,,
11,0,158.07586021227874,176.3581427555275,99.32875512778975,165.2291527457918,111.8158504498735,164.17172575902634,133.58489533247175,167.3854307481459,111.56363078923174,167.9824592320745,0.04622071828292703,0.045444162288936156,0.06646591268633986,0.1018024710611688,0.015598119244234172,0.0758643475379277,0.09983629640688974,0.06762549443254405,0.09781401812732805,0.05163805692449636,-0.12508893013000488,0.0172121524810791,0.11086063538009357,0.1105995119808154,38.11656961734485,,,,,,,,,,,,
11,1,169.59575595313916,156.0177958384545,142.22136469600778,145.6498382329079,172.09943153406422,175.36807876254971,154.35105152920173,169.3909426993403,157.64630100363945,169.63120481802676,0.02390357272123693,0.0853077852096024,0.08202627708019619,0.0878158187677869,0.08704343476835938,0.081234211660137,0.08735059923316409,0.05020890722428325,0.054655552142132094,0.006864862669499273,-0.0719497799873352,0.02359902858734131,0.054011700930646986,0.04350513181934844,24.92484200758613,,,,,,,,,,,,
12,0,164.36687654655117,167.2372927183633,135.48196408886332,141.1834551188203,171.56454508234427,173.1076771357356,163.205905814923,172.25085828400114,160.44255815959966,174.7031960350311,0.025456695811724987,0.07899095251325428,0.07759615605886493,0.08294115295615503,0.08057100854280222,0.0793964214849653,0.0847478062369291,0.041474655785685426,0.055736852699414155,0.014286065689992047,-0.05633068084716797,0.028774023056030273,0.05330636313122224,0.043926996113216335,22.31646580663649,,,,,,,,,,,,
13,0,149.2029670139559,161.06246375360098,133.8890628220212,136.3633904141542,168.2934724461609,174.0194688678246,164.08631382899424,177.21522960895834,150.8042365376448,177.0932730352227,0.03384378390625177,0.06579680748828974,0.07052734740880724,0.08628949726892544,0.07100929073079083,0.07796398120116581,0.09119904644721649,0.04385387369404285,0.08891772604608729,0.04733980010299722,-0.02420908212661743,0.04644668102264404,0.07090057362455232,0.060065833793071496,25.2082932115609,,,,,,,,,,,,
14,0,159.81707628268362,164.98992261013092,155.12852673799625,164.84696957615247,165.9052739473059,174.27127569877186,165.30845371839237,176.18032537282804,153.32467474636883,170.9258954470033,0.0377131964688916,0.07192480137106044,0.08638024251032586,0.10532140557026613,0.06396166307663131,0.08389479998146693,0.11117374065167458,0.03776344821917587,0.11090778101152471,0.08300413403789154,-0.009882926940917969,0.03806072473526001,0.06491834618145836,0.05474552251240116,28.168919931893857,,,,,,,,,,,,
16,0,160.0251975266766,176.50724900332767,102.08526384051018,166.1048002928563,119.70581043863845,163.49637980836116,144.5824534500644,168.395105440784,126.21184469521047,169.37139023419678,0.06174050715642024,0.06920376552193785,0.08151866089166288,0.09653905325207181,0.03865552500482325,0.1020401896581537,0.12145847589073702,0.07257182546660351,0.10044202572342315,0.04846521253350639,-0.09680867195129395,0.03431588411331177,0.09411743654211047,0.09305479501201146,45.91750941801717,,,,,,,,,,,,
17,0,169.55311422341882,175.31873949042608,112.23183433387295,159.4679821976458,123.76339291456993,161.00507133702126,148.30060568778572,170.13078621473957,128.03725644940607,165.8478157134937,0.03516442385526219,0.056680890472912346,0.0949448384941252,0.1082062788786682,0.030209321376257554,0.08915369680310907,0.10813513099156853,0.06634880396489007,0.09314339391628691,0.045993200780644485,-0.1440439224243164,0.0037615299224853516,0.06897171096452027,0.067399520361042,41.45243302313101,,,,,,,,,,,,
18,0,164.10100106924898,173.25466222549727,126.67916630250471,157.17661345666644,137.61911420380525,161.74191102086456,145.21426049070556,166.24722941503828,125.9841974498819,162.16499302136603,0.0461739990890038,0.07196593375290204,0.09464746467747441,0.1091367293110189,0.07103804055451246,0.09835375228899343,0.1167123132422543,0.02978164248189846,0.06644817906385997,0.045923448501128596,-0.14240515232086182,0.008113980293273926,0.08243230771966008,0.08156703110173222,45.33962155417473,,,,,,,,,,,,
19,0,165.2451641594179,171.84914016564463,131.84250065497906,160.6782565041822,132.37852297764493,154.99264952099503,134.4709610433152,164.49970565091553,113.16213428668796,158.58076768042565,0.049702317374303216,0.08075632285228267,0.11033986290131825,0.12617769903332096,0.04788038198458642,0.10296096439086022,0.12751932822476353,0.06408363037564369,0.09705176992612975,0.048495193053284924,-0.158328115940094,-0.003374338150024414,0.08138232446588138,0.07878176109136935,46.658552905385534,,,,,,,,,,,,
20,0,161.02663451906483,173.34083614441877,103.19876938067274,166.22418129813101,124.35621662353927,170.4769940686228,163.29447754676707,172.6238507510472,153.62743617694775,175.89251066957146,0.05147549364899928,0.03974657949810389,0.07821900372264104,0.09851118981605686,0.0390518384122417,0.1071122033291052,0.13067343406955528,0.06870528718621675,0.09392194743049856,0.0454019021004794,-0.08962815999984741,0.036869704723358154,0.07862853337360431,0.07620266102763397,30.896308658158713,,,,,,,,,,,,
20,1,163.4943616958114,171.77759442647329,138.13441920671232,161.56157404140407,133.69199121181293,153.23682361480698,132.87073038810445,164.76829679931262,116.4044155285319,160.76416598351577,0.055896533346564914,0.08810684527473706,0.11738689267951627,0.13684646191281644,0.054071139683022004,0.11308681839797687,0.1423279149655293,0.0689327618424922,0.10606945552334979,0.05088815928248518,-0.1553192138671875,0.0008988380432128906,0.08155380674521803,0.07829074353112749,47.50479584730854,,,,,,,,,,,,
21,0,164.32375597288376,170.28077959804736,135.07224758020988,159.45610140237068,130.9037475855602,154.69929514070594,132.74085700153836,162.61018214576413,114.3565158043079,158.44061143913183,0.04280782728396742,0.06537397638176974,0.09601236933606488,0.11313168141166745,0.0393693319706632,0.09212207166432437,0.11861863194930854,0.05827386169423496,0.09281150948184214,0.04883057278844984,-0.169269859790802,-0.004525125026702881,0.0877381849242858,0.08647458767408805,42.95393885603866,,,,,,,,,,,,
22,0,163.76996862444375,167.47469868968767,134.7538514718162,165.1134382820911,130.98344501521328,156.19658089595825,132.32299083830253,161.05980154411628,113.51079512744214,156.34565847493317,0.04517222382492935,0.07815640384252513,0.10709873371079373,0.12353915913215414,0.06416719207135552,0.10161504497302158,0.1277223142880598,0.03935201005204501,0.07800155542516583,0.04800571460655601,-0.1747204065322876,-0.005882918834686279,0.08528151785875865,0.08350627848585869,42.90654832262969,,,,,,,,,,,,
23,0,161.84107897688313,172.3414704754883,130.40762419957443,160.49015662214862,128.42376283571605,150.4954737275251,128.05763784287387,161.05659995325334,111.29368925286118,157.73208729875213,0.04346878499708998,0.0672689698919779,0.10240946768933434,0.12171190816615884,0.04439738265932426,0.10540332713677632,0.1307798466678341,0.06832444595477792,0.09987318120133794,0.04670946783302997,-0.1725803017616272,-0.0009369254112243652,0.09075160331648663,0.09002447408934176,42.174070837437505,,,,,,,,,,,,
24,0,161.5735537841628,174.36806855838324,120.20112956539066,161.10877775176252,124.24278097815497,148.41902746733555,129.44645501879998,162.23487085209987,111.73180493557471,156.42168900784162,0.049507514769732114,0.07303269887975736,0.09923886385481212,0.11964193665215762,0.046212559184034774,0.10662479740494216,0.12875953518372166,0.07233585359838161,0.10144289398515662,0.04912276216089706,-0.16749155521392822,0.0011501312255859375,0.10083920433098627,0.09968872026647618,44.68286934805581,,,,,,,,,,,,
25,0,162.35400956833345,176.23092173346765,121.80061416461697,163.14721176618474,123.7940238314004,151.60571064915447,133.48250732719058,164.4323551675089,113.4795683196216,157.8100008811527,0.04217125533119364,0.06479641373499151,0.09794665218431009,0.12048637129907563,0.04769795422225069,0.10623456522095528,0.12644572996985828,0.06785443886689059,0.09535748188683567,0.04867957044494473,-0.17484557628631592,-0.000986635684967041,0.11083591121369611,0.10937079362470561,42.72156947497319,,,,,,,,,,,,
26,0,162.87617474333888,173.4287303860384,125.74509622719115,160.20992737356505,125.2806916368788,150.98461686274723,131.85717142216816,165.07480575463092,116.64807218568392,159.76854688785804,0.045182311768103826,0.06857135752518706,0.09560758102783147,0.11418478055241531,0.04653857662258442,0.10514267040887056,0.1267398074763088,0.07010748829590609,0.0982071015050884,0.046540988330660886,-0.17200469970703125,6.198883056640625e-06,0.09981924252207053,0.09859880428669031,40.98370330221237,,,,,,,,,,,,
