start_time_sec,end_time_sec,type,value
0.19,0.32,chord,C
0.58,0.64,chord,C
0.7,1.09,pitch,C2
1.22,1.47,chord,C
1.98,2.94,chord,C
3.39,4.03,chord,C
4.16,4.29,chord,C
4.35,4.48,chord,C
4.61,4.99,pitch,C2
