start_time_sec,end_time_sec,type,value
1.15,1.22,pitch,C2
1.28,2.05,pitch,C2
2.18,2.82,pitch,C2
3.71,3.84,pitch,C2
3.84,4.29,pitch,C3
4.42,4.61,pitch,C3
4.74,4.93,pitch,C3
