frame,hand_index,angle_thumb_pip,angle_thumb_dip,angle_index_pip,angle_index_dip,angle_middle_pip,angle_middle_dip,angle_ring_pip,angle_ring_dip,angle_pinky_pip,angle_pinky_dip,dist_thumb_index,dist_thumb_middle,dist_thumb_ring,dist_thumb_pinky,dist_index_middle,dist_index_ring,dist_index_pinky,dist_middle_ring,dist_middle_pinky,dist_ring_pinky,thumb_y_rel_wrist,thumb_y_rel_index_mcp,thumb_dist_to_index_mcp,thumb_palm_dist,thumb_adduction_angle
10,0,175.2303974683114,171.0546469305796,176.16098746225146,176.76521615502028,175.99581628757127,178.45673172411662,176.96430339935802,175.99652669866637,174.9651960476644,174.85096798328084,0.4613052690280789,0.5681167529653894,0.5938368745962532,0.5905156792899767,0.11625620620367849,0.18763195546747555,0.3329742469227328,0.0996492241779184,0.2916476800816906,0.20204077063897344,-0.17650890350341797,0.1436341404914856,0.24583884478808,-0.14583097815369275,59.615743912669025
11,0,175.48168359549686,170.78719837449873,176.1943001183658,176.81875894200004,176.0694301887245,178.47018510605204,176.9343991334572,175.85232094657707,174.90476231585737,174.6896018900158,0.4622878369685719,0.5695232087043893,0.5945013536610867,0.5914805462169311,0.11677391269775807,0.1877482464310353,0.3338641442234993,0.09964731784224476,0.2923906066246868,0.20250337726778,-0.17303568124771118,0.1441468596458435,0.24498716680959903,-0.14474516224334488,60.386950637754644
12,0,175.71043593419571,171.2355958937226,176.16316955225554,176.81058539008006,176.18213403950617,178.3655810025902,177.0187720730685,175.82937026342276,174.89295317748736,174.69349231266747,0.4606453004149249,0.5694854620457566,0.5937921572385639,0.5915593138862101,0.11814147801547062,0.18779636218993276,0.33439101257185483,0.09919064300014667,0.29312141690223414,0.20340970632383137,-0.1731821894645691,0.14363020658493042,0.243793500833677,-0.14462505770219247,60.32233092066896
13,0,175.73920965222734,171.45183629809242,176.24522575706587,176.9304274723386,176.16937656924895,178.3483100044,176.97516098458976,175.84959768878923,174.75759035365306,174.7559278477889,0.4593743152743488,0.5679502608064257,0.5945697199758807,0.5905380712407802,0.11802400995595108,0.18946008045914417,0.33441502491289166,0.09967447448673585,0.29273696311999764,0.2036415411401554,-0.1741938591003418,0.1430588960647583,0.24240834826600183,-0.1425404860327933,60.034718180228104
14,0,175.35893132830557,172.1252526821085,176.2340864399691,176.82339491152104,176.2145902345268,178.35402112706433,177.1891092030779,175.8582911725631,174.64082583962275,174.71724279265933,0.45989048839927976,0.5684654215283986,0.5949666980880468,0.5896151967567599,0.1178570857636428,0.18979656487413066,0.3335831383710268,0.10073186078369226,0.2928117249596606,0.20273872041281696,-0.17395317554473877,0.14344066381454468,0.24262385188711835,-0.14435483635776233,59.70551372464896
15,0,175.46209539010394,171.92940894587736,176.181679464745,176.9373246696425,176.03778680425995,178.46001904236306,177.02229093351096,175.92061318885604,174.8830888503813,174.8078404220868,0.4597623410814164,0.5684592589129771,0.5961062453977387,0.5909079316453076,0.11773746374640424,0.19048010461624176,0.3341363437452963,0.1012147589627138,0.2934497227417397,0.20336727246836878,-0.17299103736877441,0.14390385150909424,0.24321082799650212,-0.14359900225585187,59.81047035279784
16,0,175.30828404689413,171.30956725826584,176.06488891549276,176.85693874277914,175.90054137996552,178.4613711602747,176.8710475338169,175.87934118262552,175.2671789252712,174.69509365587368,0.460837915590849,0.5709127629917637,0.5960647910783806,0.5909978037306444,0.11905301966825618,0.18989199947213736,0.33469009578659054,0.10091700248808706,0.29463865547235474,0.20403297448354832,-0.16949188709259033,0.14688342809677124,0.2445725955539731,-0.14420076027388964,60.33659461694016
17,0,174.97655623012182,171.69282847163873,176.3061844057191,177.02304757834477,176.0066579873186,178.37295708310464,176.97133201153486,175.84482812206107,174.82746458915557,174.68432473385272,0.4617647211950181,0.5704162289360215,0.5959593859906753,0.591327255293155,0.11759737724777496,0.18866027745881056,0.33437871548347514,0.10046449637393019,0.2945208882529174,0.20443626782102223,-0.1709544062614441,0.14534902572631836,0.2443680927285299,-0.14390195202187606,59.891286332865285
18,0,175.2794184078469,171.85878839275438,176.15967842443797,176.95723650053225,175.9411449963767,178.44204929073814,176.85816149100805,175.9078235091059,175.1013399710273,174.70166169638117,0.46082299293843676,0.5699958559192793,0.5951916083642371,0.5895452647721574,0.11805822953155481,0.189336772684828,0.33474937774516356,0.10130851625000538,0.29554611403964715,0.20478778691333582,-0.16984283924102783,0.14683806896209717,0.24285372454288234,-0.14410219944509034,59.93832984591883
19,0,177.19656550443966,174.63873292443785,176.45793569035217,176.74297728912725,176.03714501215998,178.43855493244965,177.0920816722527,175.95514701620905,174.88705509497336,174.86498968658347,0.4551878818078581,0.5651414586340976,0.5885824435094191,0.5814140709208692,0.11963938449666074,0.19014039143293474,0.333680076745998,0.10107006287628705,0.29361122501535564,0.20254459471673067,-0.1723102331161499,0.1419963240623474,0.23562394653754726,-0.14253191653034736,60.27449601953101
