frame,hand_index,angle_thumb_pip,angle_thumb_dip,angle_index_pip,angle_index_dip,angle_middle_pip,angle_middle_dip,angle_ring_pip,angle_ring_dip,angle_pinky_pip,angle_pinky_dip,dist_thumb_index,dist_thumb_middle,dist_thumb_ring,dist_thumb_pinky,dist_index_middle,dist_index_ring,dist_index_pinky,dist_middle_ring,dist_middle_pinky,dist_ring_pinky,thumb_y_rel_wrist,thumb_y_rel_index_mcp,thumb_dist_to_index_mcp
0,0,157.75194417856022,160.5459956890887,141.8569172608822,149.5571688046529,135.38619023242777,152.4379964205994,151.1163764850779,163.20183144654578,167.53516456116174,173.63100212223392,0.2137124073970975,0.23662624350747138,0.27551619253030724,0.28641605600863973,0.030607129315862496,0.07268863264204548,0.10579107311367547,0.044959428259399054,0.08356620285142646,0.04913067023384947,-0.04775267839431763,0.12212222814559937,0.15894883519424124
5,0,157.00401375136835,160.18859589912586,150.76620906978633,162.4793038448493,139.87220388189093,161.0839013939046,149.9203214111169,167.64192637046273,164.33982459554502,173.0669336246164,0.2372901695531664,0.25352327637754707,0.28450199114054486,0.28185675054362447,0.027484782029886905,0.06148396872267992,0.08845080117130957,0.03648161264728367,0.06796926557639792,0.045717704902498046,-0.04573482275009155,0.1284167766571045,0.16623472395218664
10,0,170.07524789199573,172.8613404938749,155.75107324176412,165.26109771309723,155.25914233722702,166.98404105897293,151.65638502537146,170.43176478765884,151.56979068112923,166.02114836182068,0.060743259800434074,0.07005278109777785,0.07531865597187844,0.062568467037854,0.0145437070769595,0.019396204776757128,0.016965647059927695,0.007227619512795769,0.02112803332288132,0.020933272823261358,0.14986884593963623,0.1086077094078064,0.11389816660970489
10,1,156.93224551742748,156.19199180503688,147.1382500528544,160.32927829740524,132.27501072092818,148.68772500927145,132.48172949901505,154.1441941132879,156.61117224266735,167.26849546719959,0.22591999102469032,0.23020596971740173,0.23989136150773163,0.24800018758196904,0.0281950725159234,0.047801552757097625,0.080142659710003,0.021503983968072692,0.058671742701836255,0.039581798221663626,-0.0444372296333313,0.12678176164627075,0.16848565481707692
15,0,167.3226323281789,170.49941768907274,155.11291616466113,163.4389497137772,152.00705968480293,161.67230513238542,147.73947427372872,164.78029728981022,149.42520219127059,162.10783339737745,0.05790274207118757,0.06669454960949463,0.07450875661120782,0.07221980940586495,0.01764211275784772,0.030268729591415328,0.03085480662469271,0.013535284824389628,0.018859509367418054,0.011400138704935468,0.13953423500061035,0.1037973165512085,0.11141223854823445
15,1,157.91284600420497,159.22028194115984,103.31969424675154,145.5483681868502,95.74287219014722,140.23131799338083,94.07156399295897,146.8920600108286,122.86655678632664,154.49394755511608,0.19797231174659127,0.2124472412432708,0.2033406601778758,0.19830162405640248,0.026491134737313685,0.04355594701493067,0.07086180757549065,0.02413942091742338,0.05378896630979489,0.030703852091014994,-0.048374712467193604,0.137725830078125,0.176289251552014
20,0,163.5432967792708,175.95958920949204,159.0011419913442,165.08309769877027,155.07307424105866,165.38315540999872,150.38024603171365,167.80102150246378,149.64448314964764,162.7501203708646,0.06002753725629487,0.06946025307810683,0.07686742924027434,0.06934678019048146,0.018311222946486204,0.029241943285157564,0.026909588660444423,0.0123531253999198,0.01624125132589137,0.011825466611511985,0.14411520957946777,0.11639893054962158,0.12341640518094034
20,1,160.6249747608478,154.22169218206207,90.40454622891546,150.72438369815092,83.62028242617855,149.89996324364031,79.46849617841941,151.26849196125,98.82313651920482,145.2824177479829,0.09058064583942217,0.09280164610190098,0.07515403902166727,0.09706839603684246,0.016360784772413556,0.06327163297388573,0.09680227686957311,0.05240231882838734,0.08384123131764695,0.03528322011829393,-0.0673568844795227,0.10593611001968384,0.15217550341613667
25,0,165.748094968539,166.56692168368033,157.11599064940782,167.4958257744038,156.58810411021759,168.32355423278406,156.0927744382595,170.1484920269703,157.64436374651632,167.08645289444868,0.06686904619196486,0.0818432147540718,0.09426819209778343,0.078742389233079,0.021899778997166934,0.035017729583621475,0.027429086704722275,0.014553988735428987,0.02164706429415218,0.023402068606482813,0.14390701055526733,0.11451548337936401,0.12017339461692893
25,1,163.1998049570908,175.82497238909622,159.86706324048143,169.3355353091628,152.89639348655692,169.54557964102463,155.12975967327193,173.1973217316533,167.12521084209507,175.44767495129418,0.2346180526092898,0.24781190196826805,0.2622385160263586,0.26249175633132543,0.049340341709544856,0.07268182438343102,0.10605857667376249,0.04634069812906289,0.09478221425090598,0.0517198735838901,-0.05062586069107056,0.12023848295211792,0.15186221713755443
