start_time_sec,end_time_sec,type,value
2.94,3.14,pitch,A♯3
3.14,3.26,pitch,B3
3.26,3.33,pitch,C3
3.33,3.46,pitch,C2
3.78,3.84,pitch,C2
4.22,4.48,chord,C
4.48,4.93,pitch,C2
